predicted_buggy_lines,predicted_buggy_score,predicted_density
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:12,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:16,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:17,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:18,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:21,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:27,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:34,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:35,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:36,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:38,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:39,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:40,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:41,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:42,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:43,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:44,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:45,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:46,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:47,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:48,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:49,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:50,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:51,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:52,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:53,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:54,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:55,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:56,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:57,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:58,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:59,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:60,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:61,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:62,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:63,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:64,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:65,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:66,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:67,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:68,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:69,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:70,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:71,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:72,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:73,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:74,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:75,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:76,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:77,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:78,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:79,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:80,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:81,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:82,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:83,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:84,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:85,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:88,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:90,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:95,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:96,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:99,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:103,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:104,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:107,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:111,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:112,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:115,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:119,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:120,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:123,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:127,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:128,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:131,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:135,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:136,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:139,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:143,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:144,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:147,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:151,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:152,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:155,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:159,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:160,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:163,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:167,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:168,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:171,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:174,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:175,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:178,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:182,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:183,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:186,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:190,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:191,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:194,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:198,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:199,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:202,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:206,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:207,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:210,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:214,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:215,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:218,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:222,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:223,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:226,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:230,3,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:231,3,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:234,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:238,3,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:239,3,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:242,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:246,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:247,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:250,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:254,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:255,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:258,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:262,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:263,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:266,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:270,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:271,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:274,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:278,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:279,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:282,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:285,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:286,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:287,2,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:290,1,0.0020964360587002098
core/src/main/java/org/apache/struts2/views/freemarker/tags/StrutsModels.java:294,2,0.0020964360587002098
