Approach,Recall,FAR,CE,D2H,MCC,IFA,Recall@20%,ratio
NLP-NGram,0.549,0.299,0.009,0.385,0.058,725,0.433,0.801
NLP-NGram-C,0.274,0.171,0.012,0.529,0.029,1199,0.267,0.574
MIT-TMI-LR,0.096,0.023,0.012,0.64,0.053,88,0.095,0.244
MIT-TMI-MNB,0.495,0.189,0.009,0.385,0.08,490,0.46,0.707
MIT-TMI-SVM,0.071,0.018,0.013,0.657,0.044,104,0.071,0.197
MIT-TMI-DT,0.208,0.062,0.011,0.563,0.064,128,0.208,0.462
MIT-TMI-RF,0.387,0.107,0.009,0.444,0.095,165,0.38,0.621
MIT-LineDP,0.557,0.152,0.007,0.337,0.117,287,0.529,0.75
SAT-PMD,0.154,0.028,0.012,0.599,0.077,93,0.154,0.445
SAT-CheckStyle,0.239,0.071,0.011,0.541,0.065,326,0.239,0.539
BASE-Glance-MD,0.775,0.413,0.006,0.335,0.077,1253,0.379,0.899
BASE-Glance-EA,0.509,0.245,0.009,0.39,0.064,625,0.416,0.628
BASE-Glance-LR,0.703,0.182,0.005,0.261,0.141,166,0.623,0.829

Approach,Recall,FAR,CE,D2H,MCC,IFA,Recall@20%,ratio
NLP-NGram,0.549,0.304,0.007,0.384,0.054,257,0.434,0.812
NLP-NGram-C,0.28,0.163,0.009,0.528,0.028,287,0.267,0.575
MIT-TMI-LR,0.061,0.011,0.009,0.664,0.042,21,0.061,0.213
MIT-TMI-MNB,0.522,0.188,0.006,0.368,0.082,133,0.483,0.722
MIT-TMI-SVM,0.043,0.008,0.01,0.677,0.032,18,0.043,0.168
MIT-TMI-DT,0.201,0.055,0.009,0.565,0.065,48,0.201,0.486
MIT-TMI-RF,0.449,0.096,0.007,0.399,0.101,56,0.435,0.676
MIT-LineDP,0.614,0.149,0.005,0.303,0.126,79,0.587,0.803
SAT-PMD,0.153,0.026,0.009,0.599,0.076,49,0.153,0.458
SAT-CheckStyle,0.223,0.065,0.009,0.551,0.067,126,0.223,0.548
BASE-Glance-MD,0.78,0.412,0.004,0.332,0.072,252,0.382,0.906
BASE-Glance-EA,0.506,0.246,0.006,0.39,0.059,224,0.422,0.628
BASE-Glance-LR,0.779,0.171,0.003,0.224,0.147,32,0.663,0.886

