,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
5%,0.066,0.024,0.01,0.661,0.027,62,0.066,0.288
10%,0.13,0.048,0.01,0.616,0.037,76,0.13,0.393
15%,0.196,0.073,0.009,0.571,0.044,149,0.196,0.462
20%,0.255,0.098,0.009,0.531,0.05,81,0.255,0.511
25%,0.304,0.122,0.008,0.5,0.055,139,0.304,0.545
30%,0.355,0.147,0.008,0.468,0.057,123,0.355,0.571
35%,0.405,0.171,0.008,0.438,0.059,213,0.405,0.588
40%,0.437,0.196,0.007,0.422,0.06,149,0.437,0.6
45%,0.469,0.221,0.007,0.407,0.06,204,0.442,0.615
50%,0.512,0.246,0.007,0.386,0.06,224,0.425,0.628
55%,0.541,0.27,0.006,0.377,0.06,264,0.394,0.637
60%,0.568,0.293,0.006,0.368,0.059,156,0.405,0.649
65%,0.592,0.313,0.006,0.364,0.059,353,0.412,0.656
70%,0.617,0.325,0.006,0.356,0.06,225,0.443,0.662
75%,0.629,0.329,0.006,0.352,0.061,211,0.447,0.662
80%,0.629,0.33,0.006,0.35,0.06,393,0.448,0.662
85%,0.629,0.331,0.006,0.35,0.06,407,0.449,0.662
90%,0.629,0.331,0.006,0.35,0.06,407,0.449,0.662
95%,0.629,0.331,0.006,0.35,0.06,407,0.449,0.662
100%,0.629,0.331,0.006,0.35,0.06,407,0.449,0.662
