,recall,far,ce,d2h,mcc,ifa,recall_20,ratio
5%,0.099,0.017,0.012,0.637,0.061,82.39,0.099,0.375
10%,0.188,0.035,0.011,0.575,0.082,51.26,0.188,0.525
15%,0.273,0.053,0.01,0.516,0.099,96.065,0.273,0.605
20%,0.357,0.071,0.009,0.458,0.113,124.667,0.357,0.664
25%,0.438,0.09,0.008,0.404,0.125,75.195,0.438,0.711
30%,0.507,0.108,0.008,0.359,0.133,104.325,0.502,0.746
35%,0.569,0.126,0.007,0.322,0.138,196.967,0.553,0.773
40%,0.624,0.145,0.006,0.292,0.141,178.553,0.595,0.793
45%,0.667,0.163,0.005,0.273,0.141,201.829,0.612,0.813
50%,0.707,0.182,0.005,0.259,0.141,197.911,0.627,0.827
