Approach,Recall,FAR,CE,D2H,MCC,IFA,Recall@20%,ratio
PMD,0.184,0.064,0.012,0.579,0.05,523,0.184,0.508
CheckStyle,0.286,0.188,0.012,0.525,0.026,1123,0.269,0.621
Glance-MD,0.779,0.413,0.005,0.334,0.077,1256,0.38,0.899
Glance-EA,0.512,0.245,0.009,0.388,0.064,637,0.418,0.628
Glance-LR,0.707,0.182,0.005,0.259,0.141,197,0.627,0.827

Approach,Recall,FAR,CE,D2H,MCC,IFA,Recall@20%,ratio
PMD,0.185,0.064,0.009,0.578,0.048,111,0.185,0.506
CheckStyle,0.289,0.182,0.01,0.524,0.026,547,0.281,0.649
Glance-MD,0.786,0.413,0.004,0.331,0.073,264,0.387,0.906
Glance-EA,0.512,0.246,0.007,0.386,0.06,224,0.425,0.628
Glance-LR,0.781,0.175,0.003,0.223,0.149,26,0.655,0.883

