,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50,Glance-LR-55,Glance-LR-60,Glance-LR-65,Glance-LR-70,Glance-LR-75,Glance-LR-80,Glance-LR-85,Glance-LR-90,Glance-LR-95,Glance-LR-100
ambari-2.1.0,0.472,0.584,0.676,0.732,0.775,0.804,0.823,0.845,0.855,0.863,0.869,0.869,0.882,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ambari-2.2.0,0.539,0.679,0.77,0.8,0.83,0.861,0.879,0.885,0.897,0.921,0.933,0.933,0.933,0.939,0.939,0.939,0.939,0.939,0.939,0.939
ambari-2.4.0,0.307,0.387,0.451,0.493,0.522,0.531,0.539,0.549,0.56,0.566,0.577,0.587,0.594,0.602,0.602,0.602,0.604,0.604,0.604,0.604
ambari-2.5.0,0.539,0.677,0.728,0.789,0.823,0.845,0.862,0.866,0.892,0.905,0.922,0.94,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
ambari-2.6.0,0.516,0.694,0.774,0.823,0.855,0.855,0.887,0.887,0.903,0.903,0.935,0.935,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952
ambari-2.7.0,0.143,0.168,0.227,0.286,0.286,0.294,0.303,0.303,0.319,0.336,0.336,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345
amq-5.1.0,0.386,0.526,0.617,0.698,0.757,0.805,0.843,0.87,0.888,0.899,0.911,0.919,0.936,0.941,0.941,0.941,0.941,0.941,0.941,0.941
amq-5.2.0,0.374,0.509,0.6,0.676,0.724,0.787,0.83,0.863,0.883,0.895,0.901,0.911,0.921,0.926,0.926,0.926,0.926,0.926,0.926,0.926
amq-5.4.0,0.363,0.487,0.55,0.608,0.645,0.679,0.74,0.774,0.8,0.813,0.82,0.83,0.844,0.852,0.852,0.852,0.852,0.852,0.852,0.852
amq-5.5.0,0.437,0.586,0.634,0.683,0.744,0.796,0.861,0.887,0.916,0.926,0.942,0.945,0.958,0.961,0.961,0.961,0.961,0.961,0.961,0.961
amq-5.6.0,0.394,0.544,0.572,0.611,0.683,0.722,0.806,0.844,0.861,0.861,0.872,0.889,0.911,0.917,0.922,0.922,0.922,0.922,0.922,0.922
amq-5.7.0,0.381,0.577,0.598,0.649,0.68,0.701,0.804,0.845,0.876,0.887,0.897,0.918,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928
amq-5.8.0,0.098,0.156,0.179,0.206,0.227,0.249,0.259,0.275,0.285,0.302,0.308,0.308,0.309,0.31,0.311,0.311,0.311,0.311,0.311,0.311
amq-5.9.0,0.431,0.604,0.688,0.771,0.819,0.849,0.878,0.902,0.917,0.931,0.937,0.944,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949
amq-5.10.0,0.473,0.621,0.707,0.778,0.835,0.869,0.896,0.922,0.94,0.95,0.952,0.956,0.963,0.966,0.966,0.966,0.966,0.966,0.966,0.966
amq-5.11.0,0.451,0.608,0.692,0.762,0.812,0.856,0.888,0.913,0.926,0.936,0.941,0.941,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947
amq-5.12.0,0.485,0.635,0.714,0.758,0.807,0.862,0.887,0.912,0.936,0.95,0.955,0.961,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968
amq-5.14.0,0.523,0.664,0.732,0.797,0.825,0.847,0.881,0.898,0.915,0.927,0.932,0.944,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
amq-5.15.0,0.457,0.603,0.648,0.735,0.772,0.799,0.845,0.872,0.886,0.886,0.895,0.904,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927
bookkeeper-4.2.0,0.415,0.623,0.717,0.774,0.83,0.887,0.906,0.943,0.962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bookkeeper-4.4.0,0.419,0.452,0.484,0.581,0.613,0.645,0.645,0.645,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
calcite-1.8.0,0.505,0.662,0.747,0.791,0.834,0.859,0.877,0.89,0.897,0.904,0.93,0.942,0.951,0.953,0.957,0.958,0.958,0.958,0.958,0.958
calcite-1.11.0,0.502,0.671,0.76,0.806,0.845,0.871,0.891,0.907,0.915,0.935,0.948,0.96,0.974,0.978,0.98,0.98,0.98,0.98,0.98,0.98
calcite-1.13.0,0.496,0.677,0.762,0.814,0.861,0.879,0.892,0.904,0.917,0.937,0.948,0.96,0.966,0.971,0.982,0.982,0.982,0.982,0.982,0.982
calcite-1.15.0,0.506,0.681,0.765,0.82,0.862,0.889,0.909,0.923,0.928,0.938,0.956,0.963,0.97,0.975,0.98,0.983,0.983,0.983,0.983,0.983
calcite-1.16.0,0.507,0.695,0.769,0.822,0.859,0.881,0.902,0.915,0.923,0.934,0.952,0.96,0.968,0.971,0.973,0.979,0.979,0.979,0.979,0.979
calcite-1.17.0,0.49,0.682,0.758,0.813,0.852,0.889,0.903,0.908,0.919,0.933,0.944,0.95,0.955,0.961,0.964,0.967,0.967,0.967,0.967,0.967
calcite-1.18.0,0.498,0.698,0.781,0.834,0.88,0.904,0.917,0.927,0.934,0.947,0.953,0.963,0.967,0.973,0.973,0.973,0.973,0.973,0.973,0.973
cassandra-0.8.6,0.33,0.5,0.568,0.635,0.686,0.735,0.784,0.814,0.835,0.865,0.881,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895
cassandra-1.0.9,0.313,0.468,0.567,0.627,0.687,0.738,0.77,0.81,0.845,0.869,0.885,0.901,0.901,0.909,0.909,0.909,0.909,0.909,0.909,0.909
cassandra-1.1.6,0.348,0.47,0.551,0.563,0.628,0.696,0.741,0.765,0.802,0.83,0.854,0.866,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883
cassandra-1.1.11,0.355,0.546,0.618,0.651,0.717,0.763,0.829,0.829,0.855,0.888,0.914,0.954,0.967,0.967,0.967,0.967,0.967,0.967,0.967,0.967
cassandra-1.2.11,0.341,0.464,0.587,0.587,0.63,0.659,0.725,0.754,0.79,0.812,0.826,0.841,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848
flink-1.6.0,0.103,0.141,0.141,0.154,0.154,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167
groovy-1.5.5,0.407,0.61,0.695,0.712,0.814,0.814,0.881,0.898,0.932,0.949,0.949,0.966,0.983,0.983,1.0,1.0,1.0,1.0,1.0,1.0
groovy-1.6.0,0.189,0.22,0.244,0.26,0.283,0.299,0.307,0.346,0.362,0.378,0.386,0.386,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402
groovy-1.7.3,0.261,0.315,0.351,0.378,0.423,0.45,0.459,0.477,0.505,0.523,0.523,0.523,0.532,0.541,0.541,0.541,0.541,0.541,0.541,0.541
groovy-1.7.6,0.444,0.593,0.611,0.648,0.741,0.815,0.852,0.87,0.87,0.889,0.926,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
groovy-1.8.1,0.214,0.267,0.29,0.336,0.366,0.397,0.405,0.427,0.443,0.45,0.458,0.458,0.473,0.473,0.473,0.481,0.481,0.481,0.481,0.481
groovy-1.8.7,0.528,0.639,0.694,0.75,0.833,0.861,0.889,0.917,0.917,0.944,0.944,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972
groovy-2.1.0,0.263,0.336,0.372,0.423,0.445,0.482,0.511,0.511,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526
groovy-2.1.6,0.518,0.661,0.768,0.821,0.875,0.893,0.946,0.964,0.964,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982
groovy-2.4.4,0.161,0.242,0.303,0.332,0.336,0.351,0.374,0.393,0.403,0.408,0.417,0.422,0.431,0.431,0.436,0.436,0.436,0.436,0.436,0.436
groovy-2.4.6,0.409,0.524,0.622,0.695,0.738,0.756,0.811,0.848,0.89,0.909,0.915,0.939,0.951,0.963,0.97,0.97,0.97,0.97,0.97,0.97
groovy-2.4.8,0.407,0.549,0.648,0.736,0.813,0.824,0.846,0.857,0.89,0.923,0.945,0.956,0.956,0.989,0.989,0.989,0.989,0.989,0.989,0.989
groovy-2.5.0,0.241,0.303,0.366,0.393,0.414,0.441,0.448,0.455,0.462,0.469,0.483,0.483,0.483,0.49,0.49,0.49,0.49,0.49,0.49,0.49
groovy-2.5.5,0.562,0.733,0.819,0.857,0.895,0.924,0.933,0.933,0.943,0.952,0.962,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971
hbase-0.94.5,0.448,0.606,0.66,0.759,0.805,0.851,0.88,0.909,0.934,0.946,0.946,0.959,0.979,0.983,0.992,0.992,0.992,0.992,0.992,0.992
hbase-0.98.0,0.274,0.383,0.465,0.513,0.546,0.576,0.598,0.609,0.611,0.623,0.641,0.653,0.669,0.675,0.677,0.677,0.677,0.677,0.677,0.677
hbase-0.98.5,0.403,0.538,0.654,0.741,0.792,0.83,0.857,0.884,0.886,0.9,0.924,0.924,0.943,0.946,0.951,0.951,0.951,0.951,0.951,0.951
hbase-0.98.11,0.41,0.531,0.64,0.703,0.753,0.803,0.816,0.837,0.854,0.866,0.879,0.883,0.895,0.9,0.904,0.904,0.904,0.904,0.904,0.904
hive-1.2.0,0.237,0.344,0.409,0.441,0.452,0.452,0.505,0.505,0.505,0.505,0.516,0.516,0.527,0.538,0.538,0.538,0.538,0.538,0.538,0.538
hive-2.0.0,0.321,0.446,0.5,0.554,0.625,0.625,0.625,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643
hive-2.1.0,0.19,0.24,0.28,0.321,0.349,0.355,0.38,0.383,0.389,0.393,0.393,0.399,0.408,0.417,0.424,0.427,0.427,0.427,0.427,0.427
ignite-1.4.0,0.452,0.586,0.661,0.705,0.747,0.775,0.8,0.821,0.847,0.874,0.879,0.886,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887
ignite-1.6.0,0.481,0.608,0.678,0.718,0.769,0.805,0.829,0.853,0.879,0.892,0.919,0.927,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928
log4j2-2.1,0.29,0.494,0.576,0.675,0.733,0.769,0.788,0.816,0.827,0.847,0.855,0.855,0.867,0.871,0.875,0.875,0.875,0.875,0.875,0.875
log4j2-2.2,0.34,0.561,0.668,0.758,0.836,0.869,0.893,0.914,0.918,0.943,0.951,0.963,0.975,0.984,0.988,0.988,0.988,0.988,0.988,0.988
log4j2-2.3,0.326,0.545,0.665,0.773,0.845,0.871,0.897,0.914,0.918,0.944,0.953,0.966,0.97,0.979,0.983,0.983,0.983,0.983,0.983,0.983
log4j2-2.4,0.318,0.525,0.657,0.754,0.826,0.856,0.856,0.873,0.881,0.903,0.924,0.936,0.941,0.945,0.945,0.945,0.945,0.945,0.945,0.945
log4j2-2.5,0.305,0.514,0.655,0.736,0.8,0.836,0.85,0.873,0.882,0.886,0.895,0.918,0.927,0.932,0.932,0.932,0.932,0.932,0.932,0.932
log4j2-2.6,0.364,0.585,0.664,0.733,0.774,0.783,0.82,0.834,0.857,0.866,0.866,0.871,0.876,0.88,0.88,0.88,0.88,0.88,0.88,0.88
log4j2-2.7,0.376,0.557,0.647,0.706,0.76,0.765,0.783,0.787,0.819,0.824,0.833,0.833,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842
log4j2-2.8,0.371,0.597,0.71,0.81,0.855,0.855,0.873,0.878,0.887,0.896,0.896,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905
log4j2-2.9,0.377,0.623,0.726,0.809,0.819,0.819,0.828,0.833,0.837,0.837,0.842,0.842,0.86,0.87,0.87,0.87,0.87,0.87,0.87,0.87
log4j2-2.10,0.461,0.717,0.826,0.881,0.9,0.9,0.918,0.922,0.932,0.932,0.932,0.932,0.95,0.95,0.959,0.959,0.959,0.959,0.959,0.959
mahout-0.4,0.333,0.419,0.496,0.573,0.632,0.675,0.718,0.744,0.769,0.778,0.786,0.786,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795
mahout-0.5,0.309,0.447,0.521,0.596,0.638,0.649,0.745,0.777,0.819,0.819,0.84,0.84,0.883,0.894,0.894,0.894,0.894,0.894,0.894,0.894
mahout-0.6,0.216,0.324,0.414,0.486,0.495,0.523,0.55,0.568,0.595,0.595,0.595,0.604,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622
mahout-0.7,0.457,0.619,0.733,0.81,0.829,0.838,0.857,0.895,0.943,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952
mahout-0.8,0.45,0.55,0.6,0.683,0.7,0.733,0.75,0.8,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
mng-3.1.0,0.414,0.575,0.655,0.713,0.793,0.828,0.851,0.862,0.897,0.908,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931
