,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50,Glance-MD-50-55,Glance-MD-50-60,Glance-MD-50-65,Glance-MD-50-70,Glance-MD-50-75,Glance-MD-50-80,Glance-MD-50-85,Glance-MD-50-90,Glance-MD-50-95,Glance-MD-50-100
ambari-2.1.0,0.509,0.609,0.71,0.764,0.812,0.847,0.871,0.895,0.909,0.92,0.93,0.933,0.949,0.957,0.957,0.957,0.957,0.957,0.957,0.957
ambari-2.2.0,0.527,0.667,0.758,0.8,0.836,0.873,0.909,0.915,0.927,0.952,0.964,0.97,0.97,0.976,0.976,0.976,0.976,0.976,0.976,0.976
ambari-2.4.0,0.528,0.651,0.743,0.794,0.827,0.855,0.884,0.895,0.914,0.92,0.933,0.945,0.958,0.966,0.968,0.971,0.973,0.973,0.973,0.973
ambari-2.5.0,0.543,0.694,0.741,0.806,0.836,0.858,0.879,0.884,0.909,0.927,0.944,0.966,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
ambari-2.6.0,0.516,0.694,0.774,0.823,0.855,0.855,0.887,0.903,0.919,0.952,0.968,0.968,0.984,0.984,0.984,0.984,0.984,0.984,0.984,0.984
ambari-2.7.0,0.538,0.706,0.798,0.866,0.874,0.899,0.908,0.916,0.941,0.958,0.958,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966
amq-5.1.0,0.351,0.48,0.564,0.639,0.696,0.744,0.781,0.805,0.823,0.835,0.85,0.858,0.875,0.881,0.881,0.881,0.881,0.881,0.881,0.881
amq-5.2.0,0.329,0.456,0.54,0.611,0.654,0.717,0.77,0.806,0.83,0.844,0.852,0.863,0.873,0.878,0.878,0.878,0.878,0.878,0.878,0.878
amq-5.4.0,0.397,0.518,0.579,0.64,0.674,0.715,0.769,0.805,0.835,0.847,0.859,0.871,0.886,0.895,0.895,0.895,0.895,0.895,0.895,0.895
amq-5.5.0,0.392,0.534,0.583,0.625,0.683,0.735,0.803,0.828,0.858,0.867,0.89,0.896,0.906,0.913,0.913,0.913,0.913,0.913,0.913,0.913
amq-5.6.0,0.383,0.539,0.578,0.611,0.672,0.722,0.817,0.85,0.867,0.867,0.9,0.911,0.933,0.939,0.944,0.944,0.944,0.944,0.944,0.944
amq-5.7.0,0.351,0.505,0.557,0.629,0.66,0.691,0.794,0.835,0.876,0.887,0.918,0.938,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948
amq-5.8.0,0.383,0.54,0.633,0.709,0.759,0.794,0.837,0.862,0.882,0.901,0.915,0.921,0.924,0.925,0.927,0.927,0.927,0.927,0.927,0.927
amq-5.9.0,0.405,0.576,0.667,0.738,0.784,0.815,0.839,0.868,0.882,0.894,0.9,0.908,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913
amq-5.10.0,0.453,0.595,0.685,0.75,0.8,0.837,0.861,0.888,0.903,0.913,0.915,0.918,0.925,0.928,0.928,0.928,0.928,0.928,0.928,0.928
amq-5.11.0,0.461,0.616,0.701,0.764,0.815,0.859,0.888,0.915,0.931,0.941,0.945,0.945,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952
